category,percentage,sna,cumulative_percentage
restaurant,30.145175064047823,捷運公館站(2號出口),30.145175064047823
cafe,8.795900939368062,捷運公館站(2號出口),38.94107600341589
bicycle_rental,8.02732707087959,捷運公館站(2號出口),46.96840307429548
bench,6.490179333902647,捷運公館站(2號出口),53.45858240819813
parking,5.5508112724167376,捷運公館站(2號出口),59.00939368061486
restaurant,37.03703703703704,捷運科技大樓站,37.03703703703704
cafe,8.220415537488709,捷運科技大樓站,45.257452574525736
bicycle_rental,7.136404697380307,捷運科技大樓站,52.39385727190604
bank,5.058717253839205,捷運科技大樓站,57.45257452574525
parking,4.5167118337850045,捷運科技大樓站,61.96928635953025
restaurant,35.56390977443609,臺大小福樓東側,35.563909774436084
cafe,9.699248120300751,臺大小福樓東側,45.263157894736835
bicycle_rental,8.345864661654137,臺大小福樓東側,53.609022556390975
parking,4.2105263157894735,臺大小福樓東側,57.81954887218045
drinking_water,4.06015037593985,臺大小福樓東側,61.87969924812029
restaurant,35.69277108433735,和平龍泉街口,35.69277108433735
cafe,11.74698795180723,和平龍泉街口,47.43975903614458
drinking_water,4.819277108433735,和平龍泉街口,52.25903614457832
bank,4.292168674698795,和平龍泉街口,56.55120481927711
bicycle_rental,4.216867469879518,和平龍泉街口,60.76807228915663
restaurant,39.531680440771346,捷運芝山站(1號出口),39.531680440771325
cafe,5.371900826446281,捷運芝山站(1號出口),44.903581267217604
parking,4.958677685950414,捷運芝山站(1號出口),49.862258953168016
bicycle_rental,4.820936639118457,捷運芝山站(1號出口),54.683195592286474
shelter,4.545454545454546,捷運芝山站(1號出口),59.22865013774101
restaurant,36.565507031828275,臺大女九舍西南側,36.565507031828275
cafe,9.696521095484826,臺大女九舍西南側,46.2620281273131
bicycle_rental,8.290155440414509,臺大女九舍西南側,54.55218356772761
parking,3.4789045151739453,臺大女九舍西南側,58.03108808290155
drinking_water,3.3308660251665434,臺大女九舍西南側,61.3619541080681
restaurant,31.354515050167226,捷運公館站(3號出口),31.354515050167226
cafe,9.364548494983277,捷運公館站(3號出口),40.719063545150505
bicycle_rental,7.6923076923076925,捷運公館站(3號出口),48.4113712374582
bench,5.852842809364549,捷運公館站(3號出口),54.264214046822744
parking,5.60200668896321,捷運公館站(3號出口),59.866220735785944
restaurant,30.37752414398595,銘傳國小側門,30.37752414398595
cafe,8.340649692712907,銘傳國小側門,38.71817383669886
bicycle_rental,8.077260755048288,銘傳國小側門,46.795434591747146
bench,6.145741878841089,銘傳國小側門,52.94117647058824
parking,5.267778753292362,銘傳國小側門,58.2089552238806
restaurant,36.54301499605367,臺大工綜館南側,36.54301499605367
cafe,9.392265193370166,臺大工綜館南側,45.935280189423835
bicycle_rental,8.681925808997633,臺大工綜館南側,54.61720599842147
drinking_water,4.1041831097079715,臺大工綜館南側,58.72138910812944
parking,3.946329913180742,臺大工綜館南側,62.667719021310184
restaurant,42.752740560292324,臺北醫學大學,42.75274056029232
cafe,6.211936662606577,臺北醫學大學,48.96467722289889
bicycle_rental,5.84652862362972,臺北醫學大學,54.81120584652861
bank,5.115712545676005,臺北醫學大學,59.92691839220462
place_of_worship,4.506699147381242,臺北醫學大學,64.43361753958587
restaurant,36.92913385826772,捷運大安站(4號出口),36.929133858267726
parking_space,11.968503937007874,捷運大安站(4號出口),48.89763779527561
cafe,6.771653543307086,捷運大安站(4號出口),55.669291338582696
bank,5.984251968503937,捷運大安站(4號出口),61.65354330708664
bicycle_rental,4.094488188976378,捷運大安站(4號出口),65.748031496063
restaurant,37.13310580204778,臺大舊體育館西側,37.13310580204778
cafe,9.761092150170649,臺大舊體育館西側,46.894197952218434
bicycle_rental,7.508532423208192,臺大舊體育館西側,54.402730375426636
drinking_water,3.9590443686006824,臺大舊體育館西側,58.36177474402731
parking,3.8907849829351533,臺大舊體育館西側,62.25255972696247
restaurant,34.600158353127476,捷運大安森林公園站(5號出口),34.60015835312747
parking_space,12.03483768804434,捷運大安森林公園站(5號出口),46.63499604117181
cafe,8.709422011084719,捷運大安森林公園站(5號出口),55.34441805225653
bank,4.196357878068092,捷運大安森林公園站(5號出口),59.54077593032462
parking,3.4045922406967537,捷運大安森林公園站(5號出口),62.945368171021364
restaurant,47.704367301231805,捷運龍山寺站(1號出口),47.704367301231805
cafe,5.375139977603583,捷運龍山寺站(1號出口),53.07950727883539
bicycle_rental,4.591265397536394,捷運龍山寺站(1號出口),57.67077267637178
place_of_worship,4.143337066069429,捷運龍山寺站(1號出口),61.81410974244122
parking,3.4714445688689812,捷運龍山寺站(1號出口),65.2855543113102
restaurant,32.56021409455843,臺大社科院西側,32.56021409455843
bicycle_rental,9.812667261373774,臺大社科院西側,42.37288135593221
cafe,7.671721677074041,臺大社科院西側,50.044603033006254
