民國年月,臺北市YouBike每月使用量（次數）
10911,2730442
10912,2072168
11001,2291365
11002,2208191
11003,2799636
11004,2717801
11005,1956980
11006,1147429
11007,1578183
11008,2070079
11009,2474077
11010,2643406
11011,2833737
11012,2816235
11101,2474360
11102,1753064
11103,3185486
11104,2885346
11105,2103810
11106,2602521
11107,3307709
11108,3522522
11109,3177220
11110,2829746
11111,3473784
11112,2813139
11201,2887137
11202,3077135
11203,4098606
11204,3663252
11205,3978801
11206,3655769
11207,4015322
11208,3873625
11209,4191260
11210,4202475
11211,4439682
11212,4041955
11301,4002354
11302,3648833
11303,4945217
11304,5312227
11305,6096098
