,借車站,還車站,路線次數,reverse,difference,lat_start,lng_start,lat_end,lng_end
0,一壽橋,臺北市立景美女中,1,37,36,24.97837,121.55548,24.98058,121.55624
1,一江公園,中原公園,25,0,25,25.05316,121.53146,25.05583,121.52821
2,一江公園,仁德公園,13,0,13,25.05316,121.53146,25.05337,121.5289
3,一江公園,新生長春路口(東北側),10,0,10,25.05316,121.53146,25.05532,121.52769
4,一江公園,長春一江街口,14,2,12,25.05316,121.53146,25.05488,121.53142
5,三張犁,信義基隆路口,2,24,22,25.03452,121.5576,25.03321,121.55873
6,三張犁,信義延吉街口,1,15,14,25.03452,121.5576,25.03318,121.55725
7,三張犁,信義敦化路口,1,15,14,25.03452,121.5576,25.03333,121.54977
8,三張犁,僑安地下停車場(2號出口)東南側,6,35,29,25.03452,121.5576,25.0391,121.5569
9,三張犁,市府松壽路口,2,15,13,25.03452,121.5576,25.03627,121.56383
10,三張犁,市府松高路口,7,19,12,25.03452,121.5576,25.03899,121.56369
11,三張犁,忠孝東路四段248巷口,1,14,13,25.03452,121.5576,25.04132,121.55393
12,三張犁,捷運信義安和站(1號出口),8,243,235,25.03452,121.5576,25.03331,121.55265
13,三張犁,捷運信義安和站(4號出口),7,145,138,25.03452,121.5576,25.03305,121.55378
14,三張犁,捷運台北101/世貿站(2號出口),1,13,12,25.03452,121.5576,25.0327,121.56157
15,三張犁,捷運國父紀念館站(2號出口),15,495,480,25.03452,121.5576,25.04122,121.55745
16,三張犁,捷運國父紀念館站(5號出口),1,25,24,25.03452,121.5576,25.04206,121.55792
17,三張犁,捷運大安站(4號出口),1,28,27,25.03452,121.5576,25.0332,121.5439
18,三民公園,南京東興路口,1,18,17,25.061287,121.56668,25.05149,121.56535
19,三民公園,捷運南京三民站(2號出口),1,12,11,25.061287,121.56668,25.05136,121.56283
20,三民公園(塔悠路),捷運南京三民站(1號出口),1,40,39,25.06241,121.56831,25.05155,121.5636
21,三民國小(撫遠街),捷運南京三民站(1號出口),1,22,21,25.06457,121.56458,25.05155,121.5636
22,三民路166巷口,捷運中山國中站,2,19,17,25.0619,121.56328,25.06106,121.54406
