"times","stop_id1","longitude1（經度）","latitude1（緯度）","stop_id2","longitude2","latitude2"
2364,"U101001",121.5436,25.02605,"U101002",121.54357,25.0256500025
11,"U101001",121.5436,25.02605,"U101003",121.54124,25.0242900025
144,"U101001",121.5436,25.02605,"U101004",121.54282,25.0235100025
38,"U101001",121.5436,25.02605,"U101005",121.54299,25.0215300025
778,"U101001",121.5436,25.02605,"U101006",121.54328,25.0242900025
96,"U101001",121.5436,25.02605,"U101007",121.54326,25.0225300025
899,"U101001",121.5436,25.02605,"U101013",121.54332,25.0254300025
1,"U101001",121.5436,25.02605,"U101036",121.54497,25.0203200025
4,"U101001",121.5436,25.02605,"U101037",121.54432,25.0207600025
23,"U101001",121.5436,25.02605,"U101038",121.54284,25.0210100025
2,"U101001",121.5436,25.02605,"U101039",121.54081,25.0210400025
4,"U101001",121.5436,25.02605,"U101093",121.544069,25.0214690025
1065,"U101001",121.5436,25.02605,"U101166",121.54459,25.0246900025
23,"U101001",121.5436,25.02605,"U101190",121.54108,25.0234700025
6,"U101001",121.5436,25.02605,"U101209",121.54153,25.0210100025
1,"U101001",121.5436,25.02605,"U119049",121.53902,25.0193700025
2,"U101001",121.5436,25.02605,"U119052",121.54059,25.0185700025
14,"U101001",121.5436,25.02605,"U119067",121.54145,25.0205300025
5,"U101001",121.5436,25.02605,"U119068",121.54175,25.0198700025
2,"U101001",121.5436,25.02605,"U119071",121.53992,25.0203600025
1,"U101001",121.5436,25.02605,"U119072",121.53868,25.0188100025
1,"U101001",121.5436,25.02605,"U119075",121.53995,25.0176100025
1,"U101001",121.5436,25.02605,"U119084",121.54305,25.0190000025
2,"U101001",121.5436,25.02605,"U119085",121.54247,25.0185700025
8,"U101001",121.5436,25.02605,"U119088",121.54347,25.0199500025
8,"U101002",121.54357,25.02565,"U101003",121.54124,25.0242900025
75,"U101002",121.54357,25.02565,"U101004",121.54282,25.0235100025
19,"U101002",121.54357,25.02565,"U101005",121.54299,25.0215300025
379,"U101002",121.54357,25.02565,"U101006",121.54328,25.0242900025
53,"U101002",121.54357,25.02565,"U101007",121.54326,25.0225300025
455,"U101002",121.54357,25.02565,"U101013",121.54332,25.0254300025
1,"U101002",121.54357,25.02565,"U101037",121.54432,25.0207600025
10,"U101002",121.54357,25.02565,"U101038",121.54284,25.0210100025
1,"U101002",121.54357,25.02565,"U101039",121.54081,25.0210400025
1,"U101002",121.54357,25.02565,"U101093",121.544069,25.0214690025
618,"U101002",121.54357,25.02565,"U101166",121.54459,25.0246900025
13,"U101002",121.54357,25.02565,"U101190",121.54108,25.0234700025
4,"U101002",121.54357,25.02565,"U101209",121.54153,25.0210100025
7,"U101002",121.54357,25.02565,"U119067",121.54145,25.0205300025
2,"U101002",121.54357,25.02565,"U119068",121.54175,25.0198700025
1,"U101002",121.54357,25.02565,"U119085",121.54247,25.0185700025
4,"U101002",121.54357,25.02565,"U119088",121.54347,25.0199500025
222,"U101003",121.54124,25.02429,"U101004",121.54282,25.0235100025
5,"U101003",121.54124,25.02429,"U101005",121.54299,25.0215300025
34,"U101003",121.54124,25.02429,"U101006",121.54328,25.0242900025
22,"U101003",121.54124,25.02429,"U101007",121.54326,25.0225300025
12,"U101003",121.54124,25.02429,"U101013",121.54332,25.0254300025
1,"U101003",121.54124,25.02429,"U101036",121.54497,25.0203200025
1,"U101003",121.54124,25.02429,"U101037",121.54432,25.0207600025
3,"U101003",121.54124,25.02429,"U101038",121.54284,25.0210100025
1,"U101003",121.54124,25.02429,"U101039",121.54081,25.0210400025
2,"U101003",121.54124,25.02429,"U101093",121.544069,25.0214690025
11,"U101003",121.54124,25.02429,"U101166",121.54459,25.0246900025
585,"U101003",121.54124,25.02429,"U101190",121.54108,25.0234700025
1,"U101003",121.54124,25.02429,"U101209",121.54153,25.0210100025
1,"U101003",121.54124,25.02429,"U119049",121.53902,25.0193700025
1,"U101003",121.54124,25.02429,"U119050",121.5376,25.0184600025
1,"U101003",121.54124,25.02429,"U119054",121.5404,25.0194100025
1,"U101003",121.54124,25.02429,"U119067",121.54145,25.0205300025
2,"U101003",121.54124,25.02429,"U119068",121.54175,25.0198700025
1,"U101003",121.54124,25.02429,"U119083",121.53846,25.0196000025
2,"U101003",121.54124,25.02429,"U119088",121.54347,25.0199500025
103,"U101004",121.54282,25.02351,"U101005",121.54299,25.0215300025
387,"U101004",121.54282,25.02351,"U101006",121.54328,25.0242900025
288,"U101004",121.54282,25.02351,"U101007",121.54326,25.0225300025
1,"U101004",121.54282,25.02351,"U101010",121.53361,25.0189400025
65,"U101004",121.54282,25.02351,"U101013",121.54332,25.0254300025
1,"U101004",121.54282,25.02351,"U101033",121.5452,25.0166400025
3,"U101004",121.54282,25.02351,"U101036",121.54497,25.0203200025
6,"U101004",121.54282,25.02351,"U101037",121.54432,25.0207600025
38,"U101004",121.54282,25.02351,"U101038",121.54284,25.0210100025
13,"U101004",121.54282,25.02351,"U101039",121.54081,25.0210400025
1,"U101004",121.54282,25.02351,"U101042",121.54471,25.0172700025
1,"U101004",121.54282,25.02351,"U101092",121.54704,25.0216410025
18,"U101004",121.54282,25.02351,"U101093",121.544069,25.0214690025
93,"U101004",121.54282,25.02351,"U101166",121.54459,25.0246900025
429,"U101004",121.54282,25.02351,"U101190",121.54108,25.0234700025
4,"U101004",121.54282,25.02351,"U101191",121.54561,25.0205400025
15,"U101004",121.54282,25.02351,"U101209",121.54153,25.0210100025
1,"U101004",121.54282,25.02351,"U119045",121.53404,25.0183900025
2,"U101004",121.54282,25.02351,"U119047",121.53844,25.0176100025
7,"U101004",121.54282,25.02351,"U119049",121.53902,25.0193700025
4,"U101004",121.54282,25.02351,"U119050",121.5376,25.0184600025
7,"U101004",121.54282,25.02351,"U119052",121.54059,25.0185700025
7,"U101004",121.54282,25.02351,"U119054",121.5404,25.0194100025
1,"U101004",121.54282,25.02351,"U119055",121.53585,25.0179300025
2,"U101004",121.54282,25.02351,"U119064",121.54398,25.0175400025
30,"U101004",121.54282,25.02351,"U119067",121.54145,25.0205300025
18,"U101004",121.54282,25.02351,"U119068",121.54175,25.0198700025
8,"U101004",121.54282,25.02351,"U119071",121.53992,25.0203600025
3,"U101004",121.54282,25.02351,"U119075",121.53995,25.0176100025
4,"U101004",121.54282,25.02351,"U119076",121.54195,25.0192200025
1,"U101004",121.54282,25.02351,"U119077",121.536,25.0189000025
1,"U101004",121.54282,25.02351,"U119078",121.53888,25.0170400025
4,"U101004",121.54282,25.02351,"U119083",121.53846,25.0196000025
4,"U101004",121.54282,25.02351,"U119084",121.54305,25.0190000025
4,"U101004",121.54282,25.02351,"U119085",121.54247,25.0185700025
3,"U101004",121.54282,25.02351,"U119086",121.53928,25.0180400025
8,"U101004",121.54282,25.02351,"U119088",121.54347,25.0199500025
2,"U101004",121.54282,25.02351,"U119089",121.54242,25.0179100025
80,"U101005",121.54299,25.02153,"U101006",121.54328,25.0242900025
474,"U101005",121.54299,25.02153,"U101007",121.54326,25.0225300025
2,"U101005",121.54299,25.02153,"U101009",121.53384,25.0197600025
3,"U101005",121.54299,25.02153,"U101010",121.53361,25.0189400025
13,"U101005",121.54299,25.02153,"U101013",121.54332,25.0254300025
1,"U101005",121.54299,25.02153,"U101014",121.53202,25.0171700025
15,"U101005",121.54299,25.02153,"U101015",121.546446,25.0203480025
1,"U101005",121.54299,25.02153,"U101020",121.5331,25.0209300025
3,"U101005",121.54299,25.02153,"U101022",121.53438,25.0149100025
1,"U101005",121.54299,25.02153,"U101031",121.54698,25.0153700025
5,"U101005",121.54299,25.02153,"U101032",121.54535,25.0163700025
8,"U101005",121.54299,25.02153,"U101033",121.5452,25.0166400025
84,"U101005",121.54299,25.02153,"U101036",121.54497,25.0203200025
190,"U101005",121.54299,25.02153,"U101037",121.54432,25.0207600025
589,"U101005",121.54299,25.02153,"U101038",121.54284,25.0210100025
158,"U101005",121.54299,25.02153,"U101039",121.54081,25.0210400025
15,"U101005",121.54299,25.02153,"U101042",121.54471,25.0172700025
2,"U101005",121.54299,25.02153,"U101091",121.546622,25.0228640025
4,"U101005",121.54299,25.02153,"U101092",121.54704,25.0216410025
214,"U101005",121.54299,25.02153,"U101093",121.544069,25.0214690025
1,"U101005",121.54299,25.02153,"U101123",121.54839,25.0221500025
11,"U101005",121.54299,25.02153,"U101166",121.54459,25.0246900025
4,"U101005",121.54299,25.02153,"U101181",121.53374,25.0155100025
3,"U101005",121.54299,25.02153,"U101184",121.53334,25.0174400025
